tract_fips,population,lat,lon,California County,nearest_station_km,access_all_5km,access_nevi_5km,gini_all_5km,gini_nevi_5km,access_all_5km_pct,access_nevi_5km_pct
6037127104,3821,34.2051758,-118.4357986,Los Angeles,0.408376459,0.000595329,0,0.998590936,0.999997162,0.156103286,0.328638498
6037127210,5838,34.2066365,-118.4596472,Los Angeles,0.566950017,0.000625849,0,0.998590936,0.999997162,0.174882629,0.328638498
6037127220,5045,34.2047824,-118.4531264,Los Angeles,0.416948225,0.000736602,0,0.998590936,0.999997162,0.214788732,0.328638498
6037127300,3809,34.2084003,-118.4697535,Los Angeles,0.442663905,0.000845143,0,0.998590936,0.999997162,0.238262911,0.328638498
6037127400,6558,34.2102531,-118.4782103,Los Angeles,0.860633032,0.001152321,0,0.998590936,0.999997162,0.3157277,0.328638498
6037127520,4870,34.2184163,-118.4697511,Los Angeles,0.382878045,0.000834817,0,0.998590936,0.999997162,0.232394366,0.328638498
6037127603,3068,34.1957245,-118.4800026,Los Angeles,0.200394319,0.000776614,0,0.998590936,0.999997162,0.221830986,0.328638498
6037127604,3157,34.1993151,-118.479788,Los Angeles,0.457697437,0.000663613,0,0.998590936,0.999997162,0.191314554,0.328638498
6037127605,4329,34.189727,-118.4847378,Los Angeles,0.240664609,0.000696558,0,0.998590936,0.999997162,0.204225352,0.328638498
6037127606,3322,34.1902662,-118.4777891,Los Angeles,0.28940357,0.001663524,0,0.998590936,0.999997162,0.462441315,0.328638498
6037127711,3588,34.1879585,-118.4698195,Los Angeles,0.43782149,0.002289809,0,0.998590936,0.999997162,0.593896714,0.328638498
6037127712,3560,34.1974208,-118.4700785,Los Angeles,0.329685692,0.002258271,0,0.998590936,0.999997162,0.584507042,0.328638498
6037127803,4790,34.1975155,-118.4530799,Los Angeles,0.260412104,0.00265694,4.50E-05,0.998590936,0.999997162,0.642018779,0.888497653
6037127804,4352,34.1974926,-118.4618228,Los Angeles,0.344373249,0.002221167,0,0.998590936,0.999997162,0.577464789,0.328638498
6037127805,3627,34.1921963,-118.4576889,Los Angeles,0.101767446,0.002801813,1.19E-05,0.998590936,0.999997162,0.66314554,0.670774648
6037127806,3293,34.1885731,-118.4572359,Los Angeles,0.490431039,0.002178118,0,0.998590936,0.999997162,0.569248826,0.328638498
6037127910,5097,34.1975649,-118.4443624,Los Angeles,0.092691347,0.007024462,0,0.998590936,0.999997162,0.910798122,0.328638498
6037127920,4716,34.1975655,-118.4356225,Los Angeles,0.4851878,0.004727353,0,0.998590936,0.999997162,0.816901408,0.328638498
6037128101,3735,34.1902993,-118.4356174,Los Angeles,0.452883257,0.00551818,0,0.998590936,0.999997162,0.863849765,0.328638498
6037128102,4625,34.1902959,-118.4443506,Los Angeles,0.232681748,0.000589244,0,0.998590936,0.999997162,0.154929577,0.328638498
6037128210,5008,34.1835838,-118.4443453,Los Angeles,0.288893387,0.00055826,0,0.998590936,0.999997162,0.145539906,0.328638498
6037128220,2912,34.1835533,-118.4355767,Los Angeles,0.553781462,0.000555375,0,0.998590936,0.999997162,0.144366197,0.328638498
6037128302,5000,34.1838638,-118.4605367,Los Angeles,0.55500241,0.000683919,0,0.998590936,0.999997162,0.197183099,0.328638498
6037128303,4176,34.1830757,-118.4523813,Los Angeles,0.156768135,0.002180936,0,0.998590936,0.999997162,0.571596244,0.328638498
6037128400,4502,34.1765494,-118.4588522,Los Angeles,0.365889253,0.000446494,0,0.998590936,0.999997162,0.091549296,0.328638498
6037128601,4369,34.1784585,-118.4410821,Los Angeles,0.684898332,0.000816232,0,0.998590936,0.999997162,0.226525822,0.328638498
6037131010,6686,34.214735,-118.5382539,Los Angeles,0.690429461,0.000414605,0,0.998590936,0.999997162,0.071596244,0.328638498
6037131020,6704,34.2001766,-118.5395023,Los Angeles,0.256278488,0.00039716,0,0.998590936,0.999997162,0.064553991,0.328638498
6037131100,3197,34.2146245,-118.5056231,Los Angeles,0.745765939,0.00025422,0,0.998590936,0.999997162,0.016431925,0.328638498
6037131400,6367,34.2145917,-118.5316957,Los Angeles,0.548519246,0.000280146,0,0.998590936,0.999997162,0.030516432,0.328638498
6037131701,5587,34.2046643,-118.5578906,Los Angeles,0.3804359,0.000895762,0,0.998590936,0.999997162,0.248826291,0.328638498
6037131702,3770,34.2035942,-118.5476933,Los Angeles,0.303506531,0.002086367,1.19E-05,0.998590936,0.999997162,0.557511737,0.670774648
6037131800,6157,34.2047091,-118.527308,Los Angeles,0.987799245,0.002454262,1.19E-05,0.998590936,0.999997162,0.617370892,0.670774648
6037132001,3463,34.1920691,-118.514195,Los Angeles,0.249567724,0.002148382,1.19E-05,0.998590936,0.999997162,0.5657277,0.670774648
6037132002,3354,34.1948951,-118.507196,Los Angeles,0.329485596,0.002065791,1.19E-05,0.998590936,0.999997162,0.552816901,0.670774648
6037132101,4645,34.1902625,-118.4956552,Los Angeles,0.346091641,0.000276337,0,0.998590936,0.999997162,0.029342723,0.328638498
6037132102,5401,34.2020955,-118.497369,Los Angeles,0.421215975,0.00031509,0,0.998590936,0.999997162,0.046948357,0.328638498
6037132300,7912,34.1974433,-118.5273253,Los Angeles,0.979580053,0.002453602,1.19E-05,0.998590936,0.999997162,0.615023474,0.670774648
6037132501,4566,34.1968245,-118.548597,Los Angeles,0.290314941,0.000578125,0,0.998590936,0.999997162,0.15258216,0.328638498
6037132502,3922,34.1911391,-118.5469513,Los Angeles,0.155085812,0.000637931,0,0.998590936,0.999997162,0.180751174,0.328638498
6037132700,4873,34.1888959,-118.5257626,Los Angeles,0.818065519,0.000401489,0,0.998590936,0.999997162,0.0657277,0.328638498
6037132900,3885,34.1831957,-118.5281458,Los Angeles,0.809795968,0.000411287,0,0.998590936,0.999997162,0.070422535,0.328638498
6037133000,4778,34.196082,-118.5571125,Los Angeles,0.533983837,0.000434539,0,0.998590936,0.999997162,0.084507042,0.328638498
6037133100,5609,34.1852284,-118.5442623,Los Angeles,0.548942296,0.000288726,0,0.998590936,0.999997162,0.037558685,0.328638498
6037134001,3864,34.2029146,-118.5917267,Los Angeles,0.270956418,0.000291462,0,0.998590936,0.999997162,0.038732394,0.328638498
6037134101,5579,34.2143034,-118.5666433,Los Angeles,1.092560868,0.000298934,0,0.998590936,0.999997162,0.042253521,0.328638498
6037134103,4659,34.2185595,-118.5814401,Los Angeles,0.19392858,0.000297623,0,0.998590936,0.999997162,0.041079812,0.328638498
6037134104,4618,34.2119534,-118.5753847,Los Angeles,0.400760591,0.000271163,0,0.998590936,0.999997162,0.028169014,0.328638498
6037134303,5942,34.203248,-118.611899,Los Angeles,0.373418681,0.000266434,0,0.998590936,0.999997162,0.023474178,0.328638498
6037134304,3042,34.213933,-118.6102868,Los Angeles,1.08048809,0.000260204,0,0.998590936,0.999997162,0.019953052,0.328638498
6037134305,4183,34.217634,-118.6016952,Los Angeles,0.759899572,0.00051666,0,0.998590936,0.999997162,0.124413146,0.328638498
6037134520,6065,34.198294,-118.59964,Los Angeles,0.217786577,0.000531125,0,0.998590936,0.999997162,0.133802817,0.328638498
6037134521,3691,34.2046284,-118.5952099,Los Angeles,0.198075006,0.000517935,0,0.998590936,0.999997162,0.125586854,0.328638498
6037134522,4167,34.2046744,-118.6017183,Los Angeles,0.440018833,0.000518219,0,0.998590936,0.999997162,0.127934272,0.328638498
6037134710,5836,34.2023735,-118.5779426,Los Angeles,0.500642773,0.000469869,1.19E-05,0.998590936,0.999997162,0.104460094,0.670774648
6037134720,5074,34.2046449,-118.5688121,Los Angeles,0.793441561,0.000545561,1.19E-05,0.998590936,0.999997162,0.138497653,0.670774648
6037134800,6399,34.1955756,-118.5715501,Los Angeles,1.430101067,0.00108119,1.19E-05,0.998590936,0.999997162,0.291079812,0.670774648
6037134903,6919,34.1924692,-118.5916957,Los Angeles,0.07913443,0.000515492,0,0.998590936,0.999997162,0.123239437,0.328638498
6037134904,4043,34.1913886,-118.5802111,Los Angeles,0.820450093,0.000510178,0,0.998590936,0.999997162,0.122065728,0.328638498
6037139302,5000,34.1767231,-118.5383656,Los Angeles,0.422492524,0.000501243,0,0.998590936,0.999997162,0.11971831,0.328638498
6037139303,4260,34.1762844,-118.5333073,Los Angeles,0.139159023,0.000547977,0,0.998590936,0.999997162,0.14084507,0.328638498
